id,price,dprice
coal0005,92.580254,0.24276674
coal0010,70.433624,-0.07633892
coal0015,93.025002,0.21863745
coal0020,46.453228,0.11000844
coal1960,,
coal1961,,
coal1962,,
coal1963,,
coal1964,,
coal1965,,
coal1966,,
coal1967,,
coal1968,,
coal1969,,
coal1970,32.877144,
coal1971,34.788048,0.05812256
coal1972,35.270981,0.01388215
coal1973,36.369106,0.03113396
coal1974,43.907787,0.20728254
coal1975,62.825726,0.43085611
coal1976,62.80386,-0.00034804
coal1977,61.347889,-0.02318282
coal1978,53.489677,-0.12809262
coal1979,50.972282,-0.04706319
coal1980,60.21954,0.18141736
coal1981,80.349312,0.3342731
coal1982,84.588257,0.05275646
coal1983,60.587181,-0.28374004
coal1984,50.222874,-0.17106436
coal1985,55.328693,0.10166323
coal1986,44.363453,-0.19818361
coal1987,35.768536,-0.19373868
coal1988,42.596237,0.19088569
coal1989,46.692875,0.0961737
coal1990,46.948986,0.00548502
coal1991,47.38472,0.00928101
coal1992,45.220497,-0.04567343
coal1993,35.51754,-0.2145699
coal1994,37.747025,0.06277137
coal1995,41.911621,0.11032914
coal1996,41.317669,-0.01417154
coal1997,39.971699,-0.03257614
coal1998,34.80838,-0.12917437
coal1999,31.436356,-0.09687393
coal2000,32.284748,0.02698762
coal2001,41.28894,0.27889925
coal2002,32.722389,-0.20747811
coal2003,32.06522,-0.02008317
coal2004,60.933704,0.90030521
coal2005,53.129711,-0.12807351
coal2006,53.415112,0.00537177
coal2007,67.400246,0.26181981
coal2008,120.94399,0.7944147
coal2009,72.877853,-0.39742479
coal2010,96.838272,0.32877505
coal2011,107.06464,0.1056025
coal2012,85.584023,-0.2006322
coal2013,75.431381,-0.11862776
coal2014,63.4114,-0.15934987
coal2015,58.934372,-0.07060289
coal2016,68.806946,0.16751809
coal2017,88.999199,0.29346243
coal2018,102.89038,0.15608209
coal2019,76.611183,-0.25540966
coal2020,60.08527,-0.2157115
coal2021,134.31523,1.2354103
coalLast,2021.0,2021.0
copper0005,6712.1235,0.13920762
copper0010,6078.6694,-0.08208715
copper0015,6859.3511,0.03217932
copper0020,3783.9668,0.3238298
copper1960,3469.5273,
copper1961,3174.3149,-0.08508721
copper1962,3175.5254,0.00038133
copper1963,3238.8291,0.01993488
copper1964,4795.2813,0.48056012
copper1965,6332.0054,0.32046589
copper1966,7234.23,0.14248639
copper1967,5313.4888,-0.26550734
copper1968,5866.4653,0.10407034
copper1969,6578.8955,0.12144113
copper1970,5967.2017,-0.09297819
copper1971,4334.1445,-0.27367219
copper1972,3885.9622,-0.10340735
copper1973,5656.0874,0.45551789
copper1974,5351.3428,-0.05387905
copper1975,2890.2407,-0.45990366
copper1976,3239.0466,0.12068404
copper1977,2799.6233,-0.1356644
copper1978,2512.3149,-0.10262393
copper1979,3275.9194,0.30394459
copper1980,3273.5881,-0.00071165
copper1981,2610.3037,-0.20261694
copper1982,2286.5383,-0.12403361
copper1983,2525.7021,0.10459646
copper1984,2234.384,-0.11534144
copper1985,2323.614,0.03993493
copper1986,1958.0947,-0.15730637
copper1987,2318.4558,0.1840366
copper1988,3177.675,0.37059978
copper1989,3500.0117,0.1014379
copper1990,3150.0984,-0.0999749
copper1991,2793.8459,-0.11309248
copper1992,2675.0103,-0.04253481
copper1993,2168.5459,-0.18933174
copper1994,2696.5369,0.24347696
copper1995,3124.9883,0.1588895
copper1996,2490.3533,-0.20308396
copper1997,2592.8315,0.04115009
copper1998,1969.6699,-0.24034019
copper1999,1909.6884,-0.0304526
copper2000,2230.377,0.16792719
copper2001,2016.7382,-0.09578596
copper2002,2016.2422,-0.00024593
copper2003,2186.5581,0.08447196
copper2004,3298.1277,0.50836498
copper2005,4104.4507,0.24447902
copper2006,7314.4556,0.78207904
copper2007,7298.7583,-0.00214606
copper2008,6618.7593,-0.0931664
copper2009,5223.833,-0.21075344
copper2010,7372.7817,0.41137394
copper2011,7782.624,0.05558855
copper2012,7071.6089,-0.09135931
copper2013,6540.4004,-0.07511847
copper2014,6205.8696,-0.05114836
copper2015,5510.0083,-0.11212955
copper2016,5065.4604,-0.08068007
copper2017,6203.4575,0.22465818
copper2018,6277.6841,0.01196535
copper2019,5911.7852,-0.05828565
copper2020,6102.7012,0.03229414
copper2021,9064.9893,0.48540604
copperLast,2021.0,2021.0
diamond0005,9.6162968,-0.02215826
diamond0010,15.646215,0.07715242
diamond0015,9.5716867,0.33910775
diamond0020,4.4639168,0.00763641
diamond1960,,
diamond1961,,
diamond1962,,
diamond1963,,
diamond1964,,
diamond1965,,
diamond1966,,
diamond1967,,
diamond1968,,
diamond1969,,
diamond1970,,
diamond1971,,
diamond1972,,
diamond1973,,
diamond1974,,
diamond1975,,
diamond1976,,
diamond1977,,
diamond1978,,
diamond1979,,
diamond1980,,
diamond1981,,
diamond1982,,
diamond1983,,
diamond1984,,
diamond1985,,
diamond1986,,
diamond1987,,
diamond1988,,
diamond1989,,
diamond1990,,
diamond1991,6.5363798,
diamond1992,4.4619598,-0.31736529
diamond1993,6.7027249,0.50219303
diamond1994,9.2076855,0.3737227
diamond1995,6.4776702,-0.29649311
diamond1996,7.3778901,0.13897279
diamond1997,7.5246649,0.01989387
diamond1998,3.8357201,-0.49024707
diamond1999,4.5108848,0.17602032
diamond2000,5.1958351,0.15184391
diamond2001,3.4638901,-0.33333334
diamond2002,5.3132548,0.53389823
diamond2003,3.0235651,-0.4309392
diamond2004,7.6029449,1.514563
diamond2005,13.610935,0.79021883
diamond2006,12.3291,-0.09417689
diamond2007,11.29189,-0.08412695
diamond2008,12.612865,0.11698443
diamond2009,13.023835,0.03258337
diamond2010,18.37623,0.4109692
diamond2011,19.247095,0.04739083
diamond2012,14.97105,-0.22216572
diamond2013,15.16675,0.01307187
diamond2014,14.0904,-0.07096776
diamond2015,17.123751,0.21527785
diamond2016,13.3076,-0.22285718
diamond2017,15.55815,0.16911767
diamondLast,2017.0,2017.0
gas0005,251.44211,16.35866
gas0010,2.9847591,-0.02087454
gas0015,5.4820132,-0.09516794
gas0020,7.0259814,0.12411709
gas1960,0.7156238,
gas1961,0.75210732,0.05098143
gas1962,0.78755218,0.04712739
gas1963,0.80224782,0.0186599
gas1964,0.74172693,-0.07543914
gas1965,0.78363729,0.05650375
gas1966,0.75577325,-0.03555731
gas1967,0.74918824,-0.00871293
gas1968,0.75577325,0.00878952
gas1969,0.76220387,0.00850867
gas1970,0.71655315,-0.05989306
gas1971,0.72141117,0.0067797
gas1972,0.69807154,-0.03235274
gas1973,0.66528851,-0.04696228
gas1974,0.75389332,0.13318253
gas1975,1.0065224,0.33509928
gas1976,1.3430992,0.33439574
gas1977,1.689935,0.25823537
gas1978,1.6674113,-0.01332811
gas1979,1.9471445,0.16776495
gas1980,2.384078,0.22439706
gas1981,2.9720156,0.24661005
gas1982,3.8071859,0.2810114
gas1983,4.1131854,0.0803742
gas1984,4.3071356,0.04715328
gas1985,4.1161819,-0.04433427
gas1986,2.7580171,-0.32995743
gas1987,2.1623707,-0.21596907
gas1988,2.0539834,-0.05012426
gas1989,2.084796,0.01500134
gas1990,2.0101268,-0.03581603
gas1991,1.7759316,-0.11650769
gas1992,2.0775533,0.16983856
gas1993,2.4040463,0.15715267
gas1994,2.2437859,-0.0666628
gas1995,1.8336222,-0.18279982
gas1996,2.9670877,0.61815649
gas1997,2.8262711,-0.04745957
gas1998,2.4851222,-0.12070635
gas1999,2.7520723,0.10741932
gas2000,5.2987981,0.92538476
gas2001,5.0547671,-0.04605402
gas2002,4.337666,-0.1418663
gas2003,6.7496133,0.55604726
gas2004,6.7839513,0.0050874
gas2005,9.9470415,0.46626076
gas2006,7.311636,-0.26494366
gas2007,7.1590266,-0.02087212
gas2008,8.4279327,0.17724562
gas2009,4.0071282,-0.52454197
gas2010,4.2909708,0.07083441
gas2011,3.5250082,-0.17850566
gas2012,2.4441741,-0.3066189
gas2013,3.321878,0.3591004
gas2014,3.9508853,0.18935293
gas2015,2.6134956,-0.33850381
gas2016,2.593363,-0.0077033
gas2017,2.9771607,0.14799225
gas2018,3.0377285,-0.80475003
gas2019,2.523891,-0.1691519
gas2020,1.9911864,-0.21106482
gas2021,3.7472136,0.88189995
gasLast,2021.0,2021.0
gold0005,1042.5468,65.506744
gold0010,1269.2775,-0.00721713
gold0015,1022.5021,0.16118179
gold0020,494.46622,0.14101861
gold1960,180.28607,
gold1961,176.74522,-0.01964016
gold1962,173.40915,-0.01887505
gold1963,175.94298,0.01461185
gold1964,173.5641,-0.01352072
gold1965,172.00838,-0.0089634
gold1966,165.93945,-0.03528272
gold1967,163.65082,-0.01379199
gold1968,183.86545,0.12352294
gold1969,184.19926,0.00181555
gold1970,151.4948,-0.17754939
gold1971,163.53656,0.07948632
gold1972,213.68031,0.30662104
gold1973,308.33218,0.44296017
gold1974,413.97842,0.34263772
gold1975,376.92899,-0.08949606
gold1976,288.61987,-0.23428582
gold1977,315.99823,0.09485957
gold1978,355.70468,0.12565403
gold1979,506.03891,0.42263776
gold1980,911.92175,0.80207831
gold1981,688.93939,-0.24451919
gold1982,580.41693,-0.15752105
gold1983,670.37384,0.15498671
gold1984,584.79297,-0.12766141
gold1985,521.1676,-0.10879982
gold1986,524.08618,0.00560008
gold1987,580.71521,0.10805289
gold1988,533.80969,-0.08077198
gold1989,468.68793,-0.12199435
gold1990,453.86652,-0.0316232
gold1991,432.65335,-0.04673878
gold1992,403.08054,-0.06835221
gold1993,407.81314,0.01174109
gold1994,448.77081,0.10043245
gold1995,408.94745,-0.08873875
gold1996,420.72327,0.02879543
gold1997,377.05917,-0.10378341
