countrycode,year,gpop_med,watp_1564_med
AFG,2024,0.028365731239318848,0.5471152441977127
AFG,2025,0.027671942487359047,0.5501349708044603
AFG,2026,0.027067510411143303,0.5533087352842949
AFG,2027,0.026546087116003036,0.5565852503795188
AFG,2028,0.02585603855550289,0.55987588690337
AFG,2029,0.02609691582620144,0.5634281129555068
AFG,2030,0.02660377509891987,0.567221087094526
AFG,2031,0.026360422372817993,0.5710139545504914
AFG,2032,0.02559320628643036,0.5747259077502643
AFG,2033,0.025038866326212883,0.5783897581415408
AFG,2034,0.024044400081038475,0.5818868838758988
AFG,2035,0.022995496168732643,0.5852388640521847
AFG,2036,0.022800618782639503,0.5885933763528762
AFG,2037,0.022612111642956734,0.5920070084126188
AFG,2038,0.022003361955285072,0.5955595973572523
AFG,2039,0.021979155018925667,0.5993106777954295
AFG,2040,0.022402912378311157,0.6031362727496894
AFG,2041,0.021720092743635178,0.6067923085990277
AFG,2042,0.02020537294447422,0.610224009322282
AFG,2043,0.019709698855876923,0.6136058356281392
AFG,2044,0.019530361518263817,0.616884469619025
AFG,2045,0.018991243094205856,0.6199877795581037
AFG,2046,0.019285408779978752,0.6230884750040181
AFG,2047,0.0190321896225214,0.626109353084912
AFG,2048,0.018431248143315315,0.6289872958592234
AFG,2049,0.01879238337278366,0.6318709717223134
AFG,2050,0.017973270267248154,0.634585103053959
AFG,2051,0.016382144764065742,0.6369758389833574
AFG,2052,0.016524894163012505,0.6392652776990143
AFG,2053,0.0170283243060112,0.6414153102768092
AFG,2054,0.016868574544787407,0.6433180536040148
AFG,2055,0.016674434766173363,0.6450503979853812
AFG,2056,0.016632677987217903,0.646604296195537
AFG,2057,0.01649056002497673,0.6479326932473202
AFG,2058,0.015845945104956627,0.6490070342096539
AFG,2059,0.014794275164604187,0.6498373836227561
AFG,2060,0.014277583919465542,0.6505304188664672
AFG,2061,0.013967389240860939,0.6511565144463436
AFG,2062,0.014064691960811615,0.6517813130566058
AFG,2063,0.014363883063197136,0.6524170985589082
AFG,2064,0.014353599399328232,0.6530186911770931
AFG,2065,0.014379424042999744,0.653561293660489
AFG,2066,0.01345729548484087,0.6539611034346986
AFG,2067,0.01251550205051899,0.6542637855253951
AFG,2068,0.012706597335636616,0.6546429139967502
AFG,2069,0.012634445913136005,0.6550961936222924
AFG,2070,0.01249109860509634,0.6556063868327885
AFG,2071,0.011923451907932758,0.65613283822314
AFG,2072,0.011202908121049404,0.6566689653768814
AFG,2073,0.011527477763593197,0.6572638910767182
AFG,2074,0.011166974902153015,0.6577977255879384
AFG,2075,0.009993273764848709,0.6581876557806635
AFG,2076,0.00952906347811222,0.6584909512582803
AFG,2077,0.009698677808046341,0.6587655960893726
AFG,2078,0.009272724390029907,0.6589621225484158
AFG,2079,0.009457156993448734,0.659134003766236
AFG,2080,0.009553926065564156,0.6592816606444393
AFG,2081,0.008341317065060139,0.6592983326564221
AFG,2082,0.00759774399921298,0.6592055088084209
AFG,2083,0.007373460568487644,0.6590476359242343
AFG,2084,0.007760315202176571,0.6588806913276272
AFG,2085,0.007841996848583221,0.6586625038230994
AFG,2086,0.006845636293292046,0.6583131293979543
AFG,2087,0.0067664263769984245,0.6579030866625153
AFG,2088,0.006891604978591204,0.6574073321199323
AFG,2089,0.006466447841376066,0.6567908862905874
AFG,2090,0.006680391263216734,0.6561712545184535
AFG,2091,0.00651140371337533,0.6555309364008025
AFG,2092,0.005978074856102467,0.6548136403126619
AFG,2093,0.005871591158211231,0.6540562245331336
AFG,2094,0.005696629639714956,0.6532950338650769
AFG,2095,0.005394928157329559,0.6525320057017179
AFG,2096,0.005165110342204571,0.651736557668751
AFG,2097,0.005139496643096209,0.6509206096248573
AFG,2098,0.005125096533447504,0.650094728977207
AFG,2099,0.005037939175963402,0.6492406754536499
AFG,2100,0.004623141605407,0.6483429048562753
ALB,2024,-0.007099265698343515,0.6623646084761089
ALB,2025,-0.007282435894012451,0.6577169645039748
ALB,2026,-0.0074180071242153645,0.6534059123417635
ALB,2027,-0.007223343010991812,0.649857664601049
ALB,2028,-0.0071892328560352325,0.6471637950252254
ALB,2029,-0.007310014683753252,0.6451492350878679
ALB,2030,-0.007466762792319059,0.643355533640108
ALB,2031,-0.007517655845731497,0.6414551825341593
ALB,2032,-0.007461757864803076,0.639389444294694
ALB,2033,-0.007670213934034109,0.6369950634530714
ALB,2034,-0.007968347519636154,0.6344457277901545
ALB,2035,-0.00803468655794859,0.6321149312606494
ALB,2036,-0.008160163648426533,0.6301905115075822
ALB,2037,-0.008449564687907696,0.6287216405585474
ALB,2038,-0.008596567437052727,0.627640284928359
ALB,2039,-0.008904541842639446,0.6268429445089475
ALB,2040,-0.00910111702978611,0.6262379837082928
ALB,2041,-0.009118710644543171,0.6257613435760608
ALB,2042,-0.009164567105472088,0.6253798975577135
ALB,2043,-0.009183782152831554,0.6250480394778565
ALB,2044,-0.009187581017613411,0.6246708642665093
ALB,2045,-0.009305098094046116,0.6241067367334523
ALB,2046,-0.009541479870676994,0.6232061409582206
ALB,2047,-0.009528920985758305,0.6218607551505517
ALB,2048,-0.009593022055923939,0.619893765059852
ALB,2049,-0.009804826229810715,0.617190305533782
ALB,2050,-0.009941641241312027,0.6137133618029561
ALB,2051,-0.009938671253621578,0.6094821870851436
ALB,2052,-0.010046637617051601,0.6045353041513281
ALB,2053,-0.010304567404091358,0.5987933718272751
ALB,2054,-0.010432315990328789,0.5921311136988094
ALB,2055,-0.010504238307476044,0.58456359898426
ALB,2056,-0.010498463176190853,0.5763378097530333
ALB,2057,-0.01055130735039711,0.5677570384957927
ALB,2058,-0.010625026188790798,0.5590969294495531
ALB,2059,-0.01070775743573904,0.5504283861328189
ALB,2060,-0.010835053399205208,0.5417521370803795
ALB,2061,-0.010857552289962769,0.5334277958857442
ALB,2062,-0.010911399498581886,0.525949802055463
ALB,2063,-0.01106505747884512,0.5195479346481874
ALB,2064,-0.011180578731000423,0.513923389896862
ALB,2065,-0.011256199330091476,0.5086168363936207
ALB,2066,-0.011234981939196587,0.5040517076330353
ALB,2067,-0.011343893595039845,0.5008012131623399
ALB,2068,-0.011556418612599373,0.49835591823375547
ALB,2069,-0.011613682843744755,0.4961519347776449
ALB,2070,-0.011735170148313046,0.49424914058134006
ALB,2071,-0.011945811100304127,0.4927703336121387
ALB,2072,-0.012163538485765457,0.4917238346176116
ALB,2073,-0.012316765263676643,0.4909185827777235
ALB,2074,-0.012653278186917305,0.4900095981729972
ALB,2075,-0.0129547119140625,0.4888816295985465
ALB,2076,-0.012990802526473999,0.4873009765857972
ALB,2077,-0.013220553286373615,0.48484728230757657
ALB,2078,-0.013467068783938885,0.48156424512393875
ALB,2079,-0.013589282520115376,0.4779056655627047
ALB,2080,-0.013904621824622154,0.4745792078348625
ALB,2081,-0.014246015809476376,0.4719868774621565
ALB,2082,-0.014523356221616268,0.47004934150159144
ALB,2083,-0.014784205704927444,0.46881274593604944
ALB,2084,-0.014943153597414494,0.4680521225696161
ALB,2085,-0.015048230066895485,0.46749197927264025
ALB,2086,-0.015121566131711006,0.4670561482499193
ALB,2087,-0.01512544322758913,0.4667088202527674
ALB,2088,-0.01519065536558628,0.4664695692852275
ALB,2089,-0.01526181772351265,0.4663320043572513
ALB,2090,-0.015171422623097897,0.46635600940766725
ALB,2091,-0.015037532895803452,0.46652666743548443
ALB,2092,-0.01488870196044445,0.4667925799279863
ALB,2093,-0.014694444835186005,0.4671403517040514
ALB,2094,-0.01445864513516426,0.46760297929198463
ALB,2095,-0.014202207326889038,0.4681849530188481
ALB,2096,-0.01396047230809927,0.4688792930748995
ALB,2097,-0.013742918148636818,0.46967475891100907
ALB,2098,-0.013531639240682125,0.47056382187485873
ALB,2099,-0.013323239050805569,0.4715673855087238
ALB,2100,-0.013148653320968151,0.4726824318194765
DZA,2024,0.013983865268528461,0.630887832742159
DZA,2025,0.013178047724068165,0.6326856944957555
DZA,2026,0.012424197979271412,0.6351193301345757
DZA,2027,0.01169675588607788,0.6383151908176516
DZA,2028,0.011094351299107075,0.6420851940670825
DZA,2029,0.010524467565119267,0.6462401852399534
DZA,2030,0.009994878433644772,0.6506922839739004
DZA,2031,0.00958804227411747,0.6550858098176665
DZA,2032,0.00935892853885889,0.6593449896093487
DZA,2033,0.009167646989226341,0.6631909313465612
DZA,2034,0.008950227871537209,0.6664598671877972
DZA,2035,0.008966481313109398,0.66912216711191
DZA,2036,0.008899858221411705,0.6709753397045313
DZA,2037,0.008765805512666702,0.67200299382019
DZA,2038,0.008737129159271717,0.6722600736604968
DZA,2039,0.008759552612900734,0.6717544252865069
DZA,2040,0.008734844624996185,0.6704664472139509
DZA,2041,0.008682476356625557,0.6683906366651186
DZA,2042,0.008680367842316628,0.6655644877979238
DZA,2043,0.008649524301290512,0.6620227498982703
DZA,2044,0.00860263779759407,0.6578517863158142
DZA,2045,0.008483706042170525,0.653200502253821
DZA,2046,0.00830039568245411,0.6482356700352436
DZA,2047,0.008043088018894196,0.6431150357523343
DZA,2048,0.007812137715518475,0.6380135975286998
DZA,2049,0.007558114361017942,0.6330933521247694
DZA,2050,0.0072349063120782375,0.6284671789633051
DZA,2051,0.006860458757728338,0.6242324754501021
DZA,2052,0.006341122090816498,0.6204748612371825
DZA,2053,0.0059100859798491,0.6172793271055265
DZA,2054,0.005573364440351725,0.6147147021157642
DZA,2055,0.005137757398188114,0.6127938078681421
DZA,2056,0.0047691394574940205,0.6115365138264686
DZA,2057,0.004332894459366798,0.6108906434673419
DZA,2058,0.0038934536278247833,0.6108263907899382
DZA,2059,0.003552663139998913,0.6113610793376774
DZA,2060,0.003156456397846341,0.6124355843152987
DZA,2061,0.0027747396379709244,0.613989088101077
DZA,2062,0.0025749963242560625,0.6159881507864156
DZA,2063,0.002368529327213764,0.618683469289922
DZA,2064,0.0021640174090862274,0.6218191921915418
DZA,2065,0.0020371866412460804,0.624794579370092
DZA,2066,0.0018510351656004786,0.6275681775961572
DZA,2067,0.00172660150565207,0.6301982744273324
DZA,2068,0.0016343900933861732,0.632513832140321
DZA,2069,0.0015568953240290284,0.6342506320990471
DZA,2070,0.0013835348654538393,0.6352862868779933
DZA,2071,0.0014234381960704923,0.6355786797626234
DZA,2072,0.001588731538504362,0.635100302574818
DZA,2073,0.001531372545287013,0.6338087822560453
