income_group,country,countrycode,delta,labor_share,ky_ratio,hc_growth,tfp_growth,lfp,lfp_male,lfp_female,gdppc,gdp_pc_level,inv_gdp,inv_gdp_weo,gdp_growth,gdppc_growth,gns_gdp,cab_gdp,fdi_gdp,debt_gdp,poverty_215,poverty_365,poverty_685,gini,pop_growth_2024,pop_growth_2030,watp_2024,watp_2030
Lower middle income,Djibouti,DJI,0.04901127144694328,0.6335685849189758,3.601253032684326,0.010007699951529503,0.0022091122809797525,0.33555,0.47723,0.19681,3540.0,3278.53564453125,0.30278638005256653,0.031209999695420265,0.05275195464491844,0.03743220120668411,0.14939580857753754,0.11341594904661179,0.0498993955552578,0.875295102596283,0.254,0.43700000000000006,0.8079999999999999,0.41600000000000004,0.013592173345386982,0.01275886595249176,0.6597912078321448,0.6701282234551392
Upper middle income,Dominica,DMA,0.047225821763277054,0.4845505356788635,5.6111836433410645,0.00804363377392292,0.0014869102742522955,,,,10220.0,,0.24559888243675232,0.17037001252174377,0.0006180806085467339,0.006723447702825069,,-0.2543603181838989,0.05902750790119171,0.9072134494781494,,,,,-0.00459632370620966,-0.004710793029516935,0.6917075749565743,0.6897723199675856
Upper middle income,Dominican Republic,DOM,0.03529936447739601,0.4265059530735016,5.1086344718933105,0.01321987621486187,0.002551455283537507,0.6914199999999999,0.8014,0.58166,10280.0,8618.3798828125,0.24618352949619293,0.24825333058834076,0.04571109265089035,0.03547335043549538,-0.0346280001103878,-0.02325352467596531,0.03520004078745842,0.43382251262664795,0.013000000000000001,0.03,0.16899999999999998,0.384,0.008461999706923962,0.006558183580636978,0.6554187391058298,0.6597381389768463
Upper middle income,Ecuador,ECU,0.0386924110352993,0.5295876860618591,5.642492771148682,0.003653031075373292,0.008629368618130684,0.6786,0.8006399999999999,0.55641,6430.0,5853.81298828125,0.2450142353773117,0.2216566652059555,0.01138557493686676,-0.000923281186260283,-0.007157036568969488,0.010390304028987885,0.008061406202614307,0.49991822242736816,0.047,0.1,0.308,0.446,0.00860548485070467,0.008194273337721825,0.6720015229816805,0.6846972155174389
Lower middle income,"Egypt, Arab Rep.",EGY,0.049627941101789474,0.3615131974220276,1.6049591302871704,0.014313386753201485,0.0012232102453708649,0.45293999999999995,0.73488,0.16259,3510.0,3964.9873046875,0.141116663813591,0.1252966672182083,0.042395785450935364,0.0245884470641613,-0.03305166959762573,-0.03801213204860687,0.023399269208312035,0.4244789779186249,0.013999999999999999,0.071,0.585,0.285,0.017332419753074646,0.013989823870360851,0.6288904954666925,0.6511466950057618
Upper middle income,El Salvador,SLV,0.041529685258865356,0.5213456153869629,5.021202564239502,0.01188324298709631,-0.0055300467647612095,0.64913,0.80561,0.50973,5120.0,4002.59130859375,0.17066659033298492,0.22188833355903625,0.023878075182437897,0.021074341610074043,-0.03770605847239494,-0.023870166391134262,0.019186386838555336,0.6717535257339478,0.046,0.086,0.299,0.39799999999999996,0.004517625086009502,0.0033655560109764338,0.6704526037626181,0.6844404352528708
Upper middle income,Equatorial Guinea,GNQ,0.05895557999610901,0.4845505356788635,3.229602098464966,0.00804363377392292,0.0014869102742522955,0.61939,0.6812,0.5453399999999999,4740.0,7367.96826171875,0.24861103296279907,0.2889699935913086,-0.04189400002360344,-0.07204978168010712,-0.0733216181397438,,0.05522105097770691,,0.08800000000000001,0.215,0.581,0.385,0.024047264829277992,0.021771423518657684,0.590266452102267,0.5996926897479549
Low income,Eritrea,ERI,0.04769023880362511,0.5202069878578186,2.2917304039001465,0.010602852329611778,0.0005836357595399022,0.80538,0.85762,0.75493,,665.28955078125,0.004354557022452354,,,,0.10302117466926575,,,,,,,,0.01861688494682312,0.020750083029270172,0.5766010776662425,0.5976806243429389
High income,Estonia,EST,0.04413750767707825,0.6067124009132385,5.677896022796631,0.0018043698510155082,0.005921186879277229,0.81218,0.8157,0.80857,28700.0,20855.435546875,0.2492217719554901,0.27386167645454407,0.01835433579981327,0.014077463187277317,0.01120092160999775,-0.006520214956253767,0.0628579780459404,,0.005,0.006999999999999999,0.02,0.32299999999999995,-0.004875837359577417,-0.005385496187955141,0.6306504888478596,0.6277050013356136
Lower middle income,Eswatini,SWZ,0.0589866042137146,0.612078845500946,2.669400453567505,0.00880869198590517,0.013236095197498798,0.49884999999999996,0.51802,0.48036,3580.0,3829.00146484375,0.1394844949245453,0.13989832997322083,0.021782875061035156,0.012822063639760017,0.04619469866156578,0.04602111503481865,0.00874392781406641,0.26947030425071716,0.445,0.583,0.7929999999999999,0.546,0.009959133341908455,0.009560148231685162,0.6238578910969919,0.6432062235482356
,Ethiopia,ETH,0.0413782112300396,0.08436375111341476,,0.0,-0.03762079402804375,0.6908299999999999,0.79191,0.5904,,,0.32561931014060974,0.23718000948429108,,,,,,,,,,0.311,0.02583504095673561,0.02329287864267826,0.5771009970920932,0.5874022655287116
High income,Faroe Islands,FRO,0.04230361059308052,0.5460877418518066,5.107937335968018,0.005804792046546936,0.001797617063857615,,,,,,0.20726224780082703,,0.025118950754404068,0.012118657119572163,,,,,,,,,0.01245997566729784,0.006463478319346905,0.6229659112446863,0.6202829580888732
Upper middle income,Fiji,FJI,0.08231174945831299,0.48862648010253906,2.5910239219665527,0.003573621856048703,0.0027787620201706886,0.60302,0.79571,0.41200000000000003,5680.0,,0.24559888243675232,0.19618000090122223,0.020579593256115913,0.019366495311260223,,-0.1027645692229271,0.05840900540351868,0.6151512265205383,0.047,0.151,0.613,0.307,0.005007218103855848,0.004020215943455696,0.6641974883288256,0.6718651063653432
High income,Finland,FIN,0.03600906580686569,0.5828769207000732,6.304070949554443,0.005969790741801262,-0.003783272812142968,0.79863,0.80283,0.79425,51710.0,49167.84765625,0.2080165445804596,0.22876499593257904,0.008554411120712757,0.00538798188790679,-0.008778512477874756,-0.007176967803388834,0.030928395688533783,,0.001,0.001,0.003,0.27899999999999997,0.002874719211831689,-0.0015588559908792377,0.6146957694434018,0.6123628879636469
High income,France,FRA,0.037889111787080765,0.6309785842895508,5.989777088165283,0.006198677234351635,-0.0036886308807879686,0.73792,0.76583,0.71056,45180.0,45838.1484375,0.196367546916008,0.19938333332538605,0.011173044331371784,0.007902483455836773,-0.009458356536924839,-0.005039956420660019,0.01964378170669079,,0.001,0.001,0.004,0.312,0.0016499016201123595,0.0013325082836672664,0.6134831707516066,0.6045049590515638
High income,French Polynesia,PYF,0.04230361059308052,0.5460877418518066,5.107937335968018,0.005804792046546936,0.001797617063857615,0.59651,0.66404,0.52746,,,0.20726224780082703,,0.01652001217007637,0.01463418360799551,,0.06480801850557327,0.0027773366309702396,,,,,,0.0024479294661432505,0.002278935629874468,0.695745130080392,0.6879509992242946
Upper middle income,Gabon,GAB,0.054725825786590576,0.2753954529762268,2.2304067611694336,0.015108312480151653,-0.016694778576493263,0.53119,0.62228,0.43500999999999995,7550.0,7116.796875,0.4294368624687195,0.3297249972820282,0.019366467371582985,-0.0055798799730837345,0.011684331111609936,0.00980288628488779,0.0728154182434082,0.3783508837223053,0.038,0.08,0.32899999999999996,0.38,0.02156365104019642,0.01948665827512741,0.5943289976196867,0.6098090569989468
Low income,"Gambia, The",GMB,0.06849870830774307,0.5202069878578186,2.314190626144409,-0.0003933943808078766,0.0005836357595399022,0.48668,0.50784,0.46587,890.0,701.9605712890625,0.19026479125022888,0.224673330783844,0.0449671745300293,0.020664773881435394,-0.06393991410732269,-0.04664665460586548,0.07432549446821213,0.5529996752738953,0.22,0.402,0.782,0.38799999999999996,0.022773025557398796,0.019717855378985405,0.5667377116744188,0.5951260545277063
Upper middle income,Georgia,GEO,0.04448944702744484,0.46699827909469604,4.660987377166748,0.00804363377392292,0.0014869102742522955,0.6884600000000001,0.7709999999999999,0.61287,8200.0,4773.4208984375,0.21793495118618011,0.2296316772699356,0.05341304838657379,0.05464564263820648,-0.09367803484201431,-0.08157917112112045,0.07919888943433762,0.7949728965759277,0.057999999999999996,0.14,0.491,0.348,4.67488425783813e-05,-0.001178029109723866,0.6356354410965236,0.639094488334386
